_duhhVa-dk8.wav,596707,879885,13.53,19.95,midfry,_duhhVa-dk8
_duhhVa-dk8.wav,934150,1167858,21.18,26.48,midfry,_duhhVa-dk8
_duhhVa-dk8.wav,1357440,1484928,30.78,33.67,midfry,_duhhVa-dk8
_duhhVa-dk8.wav,1624128,1765440,36.83,40.03,midfry,_duhhVa-dk8
_duhhVa-dk8.wav,1900992,2053440,43.11,46.56,midfry,_duhhVa-dk8
_duhhVa-dk8.wav,2178240,2316542,49.39,52.53,midfry,_duhhVa-dk8
_duhhVa-dk8.wav,2475200,2560960,56.13,58.07,midfry,_duhhVa-dk8
_duhhVa-dk8.wav,2702356,2761536,61.28,62.62,midfry,_duhhVa-dk8
_duhhVa-dk8.wav,2930421,3013230,66.45,68.33,midfry,_duhhVa-dk8
_duhhVa-dk8.wav,3145135,3221625,71.32,73.05,midfry,_duhhVa-dk8
_duhhVa-dk8.wav,5044992,5077056,114.4,115.13,midfry,_duhhVa-dk8
_duhhVa-dk8.wav,5094528,5129664,115.52,116.32,midfry,_duhhVa-dk8
_duhhVa-dk8.wav,5145792,5172864,116.68,117.3,midfry,_duhhVa-dk8
_duhhVa-dk8.wav,5190720,5224896,117.7,118.48,midfry,_duhhVa-dk8
_duhhVa-dk8.wav,5248704,5281344,119.02,119.76,midfry,_duhhVa-dk8
_duhhVa-dk8.wav,5295360,5329152,120.08,120.84,midfry,_duhhVa-dk8
_duhhVa-dk8.wav,5350848,5388672,121.33,122.19,midfry,_duhhVa-dk8
_duhhVa-dk8.wav,5402880,5438976,122.51,123.33,midfry,_duhhVa-dk8
_duhhVa-dk8.wav,5454336,5827847,123.68,132.15,highfry,_duhhVa-dk8
_duhhVa-dk8.wav,9052416,9317204,205.27,211.27,midfry,_duhhVa-dk8
_duhhVa-dk8.wav,9373793,9587712,212.56,217.41,midfry,_duhhVa-dk8
_duhhVa-dk8.wav,9785578,9927394,221.9,225.11,midfry,_duhhVa-dk8
_duhhVa-dk8.wav,10049515,10186200,227.88,230.98,midfry,_duhhVa-dk8
_duhhVa-dk8.wav,10315676,10477077,233.92,237.58,midfry,_duhhVa-dk8
_duhhVa-dk8.wav,10595165,10722731,240.25,243.15,midfry,_duhhVa-dk8
_duhhVa-dk8.wav,10889373,10963594,246.92,248.61,midfry,_duhhVa-dk8
_duhhVa-dk8.wav,11097391,11183592,251.64,253.6,midfry,_duhhVa-dk8
_duhhVa-dk8.wav,11344237,11424735,257.24,259.06,midfry,_duhhVa-dk8
_duhhVa-dk8.wav,11547951,11638213,261.86,263.91,midfry,_duhhVa-dk8
-2WqQY_xSSM.wav,1142784,1206912,25.91,27.37,midfry,-2WqQY_xSSM
-2WqQY_xSSM.wav,1222656,1347840,27.72,30.56,midfry,-2WqQY_xSSM
-2WqQY_xSSM.wav,1410432,1501824,31.98,34.05,midfry,-2WqQY_xSSM
-2WqQY_xSSM.wav,1556352,1678080,35.29,38.05,midfry,-2WqQY_xSSM
-2WqQY_xSSM.wav,1731456,1950720,39.26,44.23,midfry,-2WqQY_xSSM
-2WqQY_xSSM.wav,2012160,2235648,45.63,50.69,midfry,-2WqQY_xSSM
-2WqQY_xSSM.wav,2343552,2400000,53.14,54.42,midfry,-2WqQY_xSSM
-2WqQY_xSSM.wav,2428032,2557056,55.06,57.98,midfry,-2WqQY_xSSM
-2WqQY_xSSM.wav,2600832,2699904,58.98,61.22,midfry,-2WqQY_xSSM
-2WqQY_xSSM.wav,2749440,2883072,62.35,65.38,midfry,-2WqQY_xSSM
-2WqQY_xSSM.wav,2956032,3170880,67.03,71.9,midfry,-2WqQY_xSSM
-2WqQY_xSSM.wav,3195136,3313920,72.45,75.15,midfry,-2WqQY_xSSM
-2WqQY_xSSM.wav,3376896,3758144,76.57,85.22,midfry,-2WqQY_xSSM
-2WqQY_xSSM.wav,3864960,4063360,87.64,92.14,layered,-2WqQY_xSSM
-2WqQY_xSSM.wav,4064240,4165020,92.16,94.44,clean,-2WqQY_xSSM
-2WqQY_xSSM.wav,4168320,4361040,94.52,98.89,layered,-2WqQY_xSSM
-2WqQY_xSSM.wav,4363387,4469904,98.94,101.36,clean,-2WqQY_xSSM
-2WqQY_xSSM.wav,4472784,4651397,101.42,105.47,layered,-2WqQY_xSSM
-2WqQY_xSSM.wav,4652928,4752768,105.51,107.77,clean,-2WqQY_xSSM
-2WqQY_xSSM.wav,4756032,4882432,107.85,110.71,layered,-2WqQY_xSSM
-2WqQY_xSSM.wav,4886528,5073152,110.81,115.04,clean,-2WqQY_xSSM
-2WqQY_xSSM.wav,5078016,5272576,115.15,119.56,midfry,-2WqQY_xSSM
-2WqQY_xSSM.wav,5321984,5593344,120.68,126.83,midfry,-2WqQY_xSSM
-2WqQY_xSSM.wav,5671936,5879607,128.62,133.32,midfry,-2WqQY_xSSM
-2WqQY_xSSM.wav,5923743,6282072,134.33,142.45,midfry,-2WqQY_xSSM
-2WqQY_xSSM.wav,6963755,7113728,157.91,161.31,layered,-2WqQY_xSSM
-2WqQY_xSSM.wav,7143468,7246750,161.98,164.33,clean,-2WqQY_xSSM
-2WqQY_xSSM.wav,7267840,7458048,164.8,169.12,layered,-2WqQY_xSSM
-2WqQY_xSSM.wav,7461888,7568480,169.2,171.62,clean,-2WqQY_xSSM
